NOC,Year,delegation_size,female_ratio,sport_count,total_medals,gold_medals,silver_medals,bronze_medals,sport_hhi,medal_rate,Season,is_host,wb_country,gdp,population,gdp_per_capita,log_gdp,log_population,log_gdp_per_capita,log_delegation_size,log_total_medals
ARG,2006,9,0.5294117647058824,5,0,0,0,0,0.0,0.0,Winter,0,Argentina,232557260817.308,39622115.0,5869.380289702051,26.172402314736317,17.49489797994014,8.677504334796176,2.1972245773362196,0.0
ARG,2010,7,0.6,3,0,0,0,0,0.0,0.0,Winter,0,Argentina,423627422092.49,41288694.0,10260.131310825429,26.772120184396353,17.536099267427428,9.236020916968927,1.9459101490553132,0.0
ARG,2014,7,0.45,2,0,0,0,0,0.0,0.0,Winter,0,Argentina,526319673731.638,43024071.0,12233.144411918574,26.989174609819035,17.577270307731148,9.411904302087885,1.9459101490553132,0.0
ARM,1994,2,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Armenia,1315158636.67553,3364610.0,390.8799642976541,20.997223131555327,15.02882261538428,5.968400516171046,0.6931471805599453,0.0
ARM,1998,7,0.42857142857142855,4,0,0,0,0,0.0,0.0,Winter,0,Armenia,1893726437.26462,3208401.0,590.2399473334599,21.36181238477603,14.981283240156694,6.380529144619336,1.9459101490553132,0.0
ARM,2002,9,0.47058823529411764,4,0,0,0,0,0.0,0.0,Winter,0,Armenia,2376335048.39976,3199800.0,742.65111831982,21.588825242141585,14.978598865816748,6.610226376324835,2.1972245773362196,0.0
ARM,2006,5,0.1111111111111111,3,0,0,0,0,0.0,0.0,Winter,0,Armenia,6384452066.5146,3127100.0,2041.6526706899683,22.577131507010805,14.955616615461743,7.621514891549061,1.6094379124341003,0.0
ARM,2010,4,0.5,2,0,0,0,0,0.0,0.0,Winter,0,Armenia,9260285755.62424,3044800.0,3041.344507233395,22.949000744267053,14.928945775524022,8.02005496874303,1.3862943611198906,0.0
ARM,2014,4,0.16666666666666666,2,0,0,0,0,0.0,0.0,Winter,0,Armenia,11609513246.7958,3013800.0,3852.1180061038554,23.175090706436734,14.918712298966192,8.256378407470542,1.3862943611198906,0.0
ASA,1994,2,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.6931471805599453,0.0
AUS,1960,30,0.15789473684210525,6,0,0,0,0,0.0,0.0,Winter,0,Australia,18635682981.7093,10276477.0,1813.4310991703967,23.6483440196868,16.145368054974607,7.502975964712193,3.4011973816621555,0.0
AUS,1964,5,0.42857142857142855,1,0,0,0,0,0.0,0.0,Winter,0,Australia,23835843813.735,11167000.0,2134.489461246082,23.894456327272966,16.22847355842793,7.665982768845037,1.6094379124341003,0.0
AUS,1968,3,0.0,3,0,0,0,0,0.0,0.0,Winter,0,Australia,32763365242.1384,12009000.0,2728.234261149005,24.21257681477452,16.30116692664282,7.911409888131697,1.0986122886681098,0.0
AUS,1972,4,0.0,2,0,0,0,0,0.0,0.0,Winter,0,Australia,52117990654.2056,13177000.0,3955.2243040301737,24.676776036161463,16.39398344352739,8.282792592634072,1.3862943611198906,0.0
AUS,1976,8,0.3684210526315789,3,0,0,0,0,0.0,0.0,Winter,0,Australia,105209354855.787,14033000.0,7497.281754135752,25.37921805778114,16.45692225673327,8.922295801047868,2.0794415416798357,0.0
AUS,1980,9,0.3684210526315789,4,0,0,0,0,0.0,0.0,Winter,0,Australia,150200557103.064,14692000.0,10223.288667510482,25.73523728534456,16.502813685921694,9.232423599422866,2.1972245773362196,0.0
AUS,1984,10,0.1,5,0,0,0,0,0.0,0.0,Winter,0,Australia,193749932078.26,15579391.0,12436.296905203804,25.989834154615988,16.561459509067802,9.428374645548185,2.302585092994046,0.0
